"","Model","variable","n","min","max","mean","median","sd","se"
"1","RLR","Value",50,0.724,0.803,0.763,0.764,0.015,0.002
"2","GLM","Value",50,0.704,0.788,0.755,0.76,0.017,0.002
"3","LDA","Value",50,0.912,1.241,1.058,1.058,0.071,0.01
"4","SDA","Value",50,0.938,1.321,1.118,1.118,0.089,0.013
"5","SVM-L","Value",50,1.165,1.242,1.199,1.196,0.016,0.002
"6","SVM-P","Value",50,1.136,1.209,1.167,1.168,0.019,0.003
"7","SVM-R","Value",50,1.053,1.148,1.093,1.093,0.02,0.003
"8","MLP","Value",50,0.735,1.173,0.931,0.927,0.12,0.017
"9","MLP-WD","Value",50,0.738,0.783,0.759,0.76,0.011,0.002
"10","MLP-D","Value",50,1.916,2.602,2.248,2.243,0.127,0.018
"11","CART","Value",50,0.932,1.069,0.995,0.999,0.031,0.004
"12","C5.0","Value",50,0.464,0.592,0.541,0.544,0.031,0.004
"13","RF","Value",50,0.284,0.457,0.36,0.349,0.045,0.006
"14","XGBoost","Value",50,0.316,0.45,0.367,0.364,0.028,0.004
